sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Baseball","4. Good",3016,3905,"WILLIAMSTOWN NORTH","26 - 50 Years"
"Baseball","3. Average",3015,3906,"NEWPORT","26 - 50 Years"
"Baseball",null,3018,3907,"ALTONA",null
"Basketball",null,3028,3908,"ALTONA MEADOWS",null
"Basketball","5. Very Good",3028,3909,"ALTONA MEADOWS","26 - 50 Years"
"Basketball",null,3015,3910,"NEWPORT",null
"Basketball","3. Average",3015,3911,"NEWPORT","26 - 50 Years"
"Beach Volleyball",null,3025,3912,"ALTONA NORTH",null
"BMX","5. Very Good",3015,3913,"NEWPORT",null
"Bocce","4. Good",3025,3914,"ALTONA NORTH","26 - 50 Years"
"Carpet Bowls","5. Very Good",3028,3915,"SEABROOK","11 - 25 Years"
"Cricket","4. Good",3028,3916,"ALTONA MEADOWS","26 - 50 Years"
"Cricket","4. Good",3028,3917,"ALTONA MEADOWS","26 - 50 Years"
"Cricket",null,3018,3918,"ALTONA",null
"Cricket","2. Poor",3025,3919,"ALTONA NORTH","11 - 25 Years"
"Cricket","4. Good",3028,3920,"ALTONA MEADOWS","6 - 10 Years"
"Cricket","4. Good",3028,3921,"ALTONA MEADOWS","6 - 10 Years"
"Cricket",null,3018,3922,"ALTONA",null
"Cricket",null,3018,3923,"ALTONA",null
"Cricket",null,3016,3924,"WILLIAMSTOWN",null
"Cricket",null,3016,3925,"WILLIAMSTOWN",null
"Cricket",null,3016,3926,"WILLIAMSTOWN",null
"Cricket","3. Average",3028,3927,"ALTONA MEADOWS","26 - 50 Years"
"Cricket","3. Average",3028,3928,"ALTONA MEADOWS","26 - 50 Years"
"Cricket","5. Very Good",3025,3929,"ALTONA NORTH","26 - 50 Years"
"Cricket","5. Very Good",3025,3930,"ALTONA NORTH","26 - 50 Years"
"Cricket","1. Very Poor",3015,3931,"NEWPORT","26 - 50 Years"
"Cricket","1. Very Poor",3015,3932,"NEWPORT","26 - 50 Years"
"Cricket","5. Very Good",3015,3933,"SPOTSWOOD","6 - 10 Years"
"Cricket","3. Average",3015,3934,"SOUTH KINGSVILLE","26 - 50 Years"
"Cricket",null,3018,3935,"ALTONA",null
"Cricket","3. Average",3016,3936,"WILLIAMSTOWN","26 - 50 Years"
"Cricket",null,3016,3937,"WILLIAMSTOWN",null
"Cricket",null,3016,3938,"WILLIAMSTOWN",null
"Cricket","3. Average",3018,3939,"ALTONA","26 - 50 Years"
"Cricket","3. Average",3018,3940,"ALTONA","26 - 50 Years"
"Cricket","2. Poor",3016,3941,"WILLIAMSTOWN","26 - 50 Years"
"Cricket","5. Very Good",3025,3942,"ALTONA NORTH","0 - 5 Years"
"Cricket","3. Average",3015,3943,"NEWPORT","26 - 50 Years"
"Cricket","3. Average",3015,3944,"NEWPORT","26 - 50 Years"
"Cricket","5. Very Good",3015,3945,"NEWPORT","26 - 50 Years"
"Cricket","3. Average",3015,3946,"NEWPORT","26 - 50 Years"
"Cricket",null,3016,3947,"WILLIAMSTOWN",null
"Cricket","5. Very Good",3016,3948,"WILLIAMSTOWN","0 - 5 Years"
"Cricket (Indoor)",null,3025,3949,"ALTONA NORTH",null
"Croquet","4. Good",3016,3950,"WILLIAMSTOWN","26 - 50 Years"
"Equestrian","2. Poor",3016,3951,"WILLIAMSTOWN NORTH","26 - 50 Years"
"Fitness / Gymnasium Workouts","5. Very Good",3025,3953,"ALTONA NORTH","26 - 50 Years"
"Fitness / Gymnasium Workouts",null,3016,3954,"WILLIAMSTOWN",null
"Fitness / Gymnasium Workouts",null,3025,3955,"ALTONA NORTH",null
"Fitness / Gymnasium Workouts",null,3025,3956,"ALTONA NORTH",null
"Fitness / Gymnasium Workouts",null,3025,3957,"ALTONA NORTH",null
"Fitness / Gymnasium Workouts",null,3025,3958,"ALTONA NORTH",null
"Fitness / Gymnasium Workouts","2. Poor",3028,3959,"LAVERTON","26 - 50 Years"
"Fitness / Gymnasium Workouts","3. Average",3015,3960,"NEWPORT","26 - 50 Years"
"Fitness / Gymnasium Workouts",null,3016,3961,"WILLIAMSTOWN",null
"Fitness / Gymnasium Workouts",null,3018,3962,"ALTONA",null
"Fitness / Gymnasium Workouts",null,3018,3963,"ALTONA",null
"Fitness / Gymnasium Workouts",null,3025,3964,"ALTONA NORTH",null
"Golf","3. Average",3025,3965,"ALTONA NORTH","26 - 50 Years"
"Golf",null,3018,3966,"ALTONA",null
"Golf","2. Poor",3015,3967,"SPOTSWOOD","26 - 50 Years"
"Gymnastics",null,3016,3968,"WILLIAMSTOWN",null
"Hockey","4. Good",3018,3969,"ALTONA","26 - 50 Years"
"Lacrosse","4. Good",3016,3970,"WILLIAMSTOWN","51 Years +"
"Lacrosse",null,3016,3971,"WILLIAMSTOWN",null
"Lacrosse","3. Average",3015,3972,"NEWPORT","26 - 50 Years"
"Lacrosse","4. Good",3018,3973,"ALTONA","26 - 50 Years"
"Lawn Bowls","5. Very Good",3018,3974,"ALTONA","26 - 50 Years"
"Lawn Bowls","4. Good",3025,3975,"ALTONA NORTH","26 - 50 Years"
"Lawn Bowls","5. Very Good",3018,3976,"ALTONA","26 - 50 Years"
"Basketball",null,3699,16,"MOUNT BEAUTY",null
"Lawn Bowls","5. Very Good",3018,3977,"ALTONA","26 - 50 Years"
"Lawn Bowls","4. Good",3028,3978,"ALTONA MEADOWS","26 - 50 Years"
"Lawn Bowls","4. Good",3015,3979,"NEWPORT","26 - 50 Years"
"Lawn Bowls","3. Average",3015,3980,"SPOTSWOOD","26 - 50 Years"
"Lawn Bowls","4. Good",3016,3981,"WILLIAMSTOWN","26 - 50 Years"
"Netball",null,3028,3982,"ALTONA MEADOWS",null
"Netball",null,3028,3983,"ALTONA MEADOWS",null
"Netball",null,3015,3984,"NEWPORT",null
"Netball","4. Good",3015,3985,"NEWPORT",null
"Netball","3. Average",3015,3986,"SPOTSWOOD",null
"Netball (Indoor)","5. Very Good",3028,3987,"ALTONA MEADOWS","26 - 50 Years"
"Netball (Indoor)",null,3025,3988,"ALTONA NORTH",null
"Rock Climbing / Abseiling (Indoor)",null,3025,3989,"ALTONA NORTH",null
"Rugby League",null,3028,3990,"ALTONA MEADOWS","26 - 50 Years"
"Rugby Union","5. Very Good",3025,3991,"ALTONA NORTH","0 - 5 Years"
"Sailing",null,3018,3992,"SEAHOLME",null
"Sailing",null,3016,3993,"WILLIAMSTOWN",null
"Sailing",null,3016,3994,"WILLIAMSTOWN",null
"Sailing",null,3016,3995,"WILLIAMSTOWN",null
"Skating","5. Very Good",3015,3996,"NEWPORT",null
"Soccer","3. Average",3028,3997,"ALTONA MEADOWS","11 - 25 Years"
"Soccer","2. Poor",3025,3998,"ALTONA NORTH","11 - 25 Years"
"Soccer","4. Good",3012,3999,"BROOKLYN","11 - 25 Years"
"Soccer","3. Average",3015,4000,"SOUTH KINGSVILLE","26 - 50 Years"
null,null,3741,1,"BRIGHT",null
"Australian Rules Football",null,3741,2,"BRIGHT",null
"Cricket",null,3741,3,"BRIGHT",null
"Netball",null,3741,4,"BRIGHT",null
"Tennis (Outdoor)",null,3741,5,"BRIGHT",null
null,null,3741,6,"BRIGHT",null
"Aerobics",null,3699,7,"MOUNT BEAUTY",null
"Athletics",null,3699,8,"MOUNT BEAUTY",null
"Australian Rules Football",null,3691,9,"DEDERANG",null
"Australian Rules Football",null,3699,10,"MOUNT BEAUTY",null
"Australian Rules Football",null,3741,11,"BRIGHT",null
"Australian Rules Football",null,3737,12,"MYRTLEFORD",null
"Badminton",null,3699,13,"MOUNT BEAUTY",null
"Baseball",null,3740,14,"POREPUNKAH",null
"Basketball",null,3741,15,"BRIGHT",null
"Basketball",null,3737,17,"MYRTLEFORD",null
"BMX",null,3699,18,"MOUNT BEAUTY",null
"Bocce",null,3737,19,"MYRTLEFORD",null
"Cricket",null,3744,20,"WANDILIGONG",null
"Cricket",null,3741,21,"BRIGHT",null
"Cricket",null,3691,22,"DEDERANG",null
"Cricket",null,3737,23,"GAPSTED",null
"Cricket",null,3741,24,"HARRIETVILLE",null
"Cricket",null,3737,25,"MYRTLEFORD",null
"Cricket",null,3737,26,"MYRTLEFORD",null
"Cricket",null,3699,27,"MOUNT BEAUTY",null
"Cricket",null,3737,28,"MYRTLEFORD",null
"Cricket",null,3741,29,"BRIGHT",null
"Cricket",null,3737,30,"MYRTLEFORD",null
"Cricket (Indoor)",null,3699,31,"MOUNT BEAUTY",null
"Cycling",null,null,32,null,null
"Equestrian",null,3737,33,"MYRTLEFORD",null
"Equestrian",null,3741,34,"BRIGHT",null
"Fitness / Gymnasium Workouts",null,3741,35,"BRIGHT",null
"Golf",null,3741,36,"BRIGHT",null
"Golf",null,3691,37,"DEDERANG",null
"Golf",null,3699,38,"MOUNT BEAUTY",null
"Golf",null,3737,39,"MYRTLEFORD",null
"Gymnastics",null,3741,40,"BRIGHT",null
"Gymnastics",null,3699,41,"MOUNT BEAUTY",null
"Lawn Bowls",null,3741,42,"BRIGHT",null
"Lawn Bowls",null,3691,43,"DEDERANG",null
"Lawn Bowls",null,3737,44,"MYRTLEFORD",null
"Lawn Bowls",null,3697,45,"TAWONGA",null
"Motor Cycling",null,null,46,"MYRTLEFORD",null
"Motor Cycling",null,null,47,"MYRTLEFORD",null
"Motor Sports",null,3737,48,"MYRTLEFORD",null
"Netball",null,3691,49,"DEDERANG",null
"Netball",null,3699,50,"MOUNT BEAUTY",null
"Netball (Indoor)",null,3699,51,"MOUNT BEAUTY",null
"Skating",null,3741,52,"BRIGHT",null
"Skating",null,3737,53,"MYRTLEFORD",null
"Skating",null,3699,54,"MOUNT BEAUTY",null
"Soccer",null,3741,55,"BRIGHT",null
"Soccer",null,3699,56,"MOUNT BEAUTY",null
"Soccer",null,3737,57,"MYRTLEFORD",null
"Soccer (Indoor Soccer / Futsal)",null,3699,58,"MOUNT BEAUTY",null
"Squash / Racquetball",null,3741,59,"BRIGHT",null
"Squash / Racquetball",null,3737,60,"MYRTLEFORD",null
"Swimming",null,3737,61,"MYRTLEFORD",null
"Swimming",null,3699,62,"MOUNT BEAUTY",null
"Table Tennis",null,3699,63,"MOUNT BEAUTY",null
"Tennis (Outdoor)",null,3691,64,"DEDERANG",null
"Tennis (Outdoor)",null,3691,65,"GUNDOWRING",null
"Tennis (Outdoor)",null,3737,66,"MYRTLEFORD",null
"Tennis (Outdoor)",null,3699,67,"MOUNT BEAUTY",null
"Tennis (Outdoor)","5. Very Good",3741,68,"BRIGHT","0 - 5 Years"
"Tennis (Outdoor)",null,3740,69,"POREPUNKAH",null
"Tennis (Outdoor)",null,3737,70,"MYRTLEFORD",null
"Volleyball",null,3699,71,"MOUNT BEAUTY",null
"Volleyball",null,3737,72,"MYRTLEFORD",null
"Athletics",null,3377,73,"ARARAT",null
"Australian Rules Football",null,3377,74,"ARARAT",null
"Australian Rules Football",null,3377,75,"ARARAT",null
"Australian Rules Football",null,3351,76,"LAKE BOLAC",null
"Australian Rules Football",null,3377,77,"MAROONA",null
"Australian Rules Football",null,3351,78,"MININERA",null
"Australian Rules Football",null,3377,79,"MOYSTON",null
"Australian Rules Football",null,3378,80,"TATYOON",null
"Australian Rules Football",null,3379,81,"WILLLAURA",null
"Badminton",null,3377,82,"ARARAT",null
"Basketball",null,3377,83,"ARARAT",null
"Cricket",null,3377,84,"ARARAT",null
"Cricket",null,3377,85,"ARARAT",null
"Cricket",null,3375,86,"BUANGOR",null
"Cricket",null,3469,87,"ELMHURST",null
"Cricket",null,3377,88,"ARARAT",null
"Cricket",null,3351,89,"LAKE BOLAC",null
"Cricket",null,3351,90,"MININERA",null
"Cricket",null,3377,91,"MOYSTON",null
"Cricket",null,3381,92,"POMONAL",null
"Cricket",null,3377,93,"ARARAT",null
"Cricket",null,3378,94,"TATYOON",null
"Cricket",null,3379,95,"WICKLIFFE",null
"Cricket",null,3379,96,"WILLLAURA",null
"Croquet",null,3377,97,"ARARAT",null
"Cycling",null,null,98,"ARARAT",null
"Cycling",null,null,99,"ARARAT",null
"Cycling",null,null,100,"ARARAT",null
"Cycling",null,3377,101,"ARARAT",null
"Cycling",null,null,102,"ARARAT",null
"Cycling",null,null,103,"ARARAT",null
"Equestrian",null,3377,104,"ARARAT",null
"Fitness / Gymnasium Workouts",null,3377,105,"ARARAT",null
"Golf",null,3377,106,"ARARAT",null
"Golf",null,3377,107,"ARARAT",null
"Golf",null,3469,108,"ELMHURST",null
"Golf",null,3351,109,"LAKE BOLAC",null
"Golf",null,3351,110,"STREATHAM",null
"Golf",null,3379,111,"WILLLAURA",null
"Hockey",null,3377,112,"ARARAT",null
"Lawn Bowls",null,3377,113,"ARARAT",null
"Lawn Bowls",null,3377,114,"ARARAT",null
"Lawn Bowls",null,3377,115,"ARARAT",null
"Lawn Bowls",null,3377,116,"ARARAT",null
"Lawn Bowls",null,3351,117,"LAKE BOLAC",null
"Lawn Bowls",null,3379,118,"WILLLAURA",null
"Motor Cycling",null,null,119,"ARARAT",null
"Netball",null,3377,120,"ARARAT",null
"Netball",null,3351,121,"LAKE BOLAC",null
"Netball",null,3351,122,"MININERA",null
"Netball",null,3377,123,"MOYSTON",null
"Netball",null,3378,124,"TATYOON",null
"Netball (Indoor)",null,3377,125,"ARARAT",null
"Shooting Sports",null,null,126,"ARARAT",null
"Squash / Racquetball",null,3377,127,"ARARAT",null
"Swimming",null,3377,128,"ARARAT",null
"Swimming",null,3377,129,"ARARAT",null
"Swimming",null,3351,130,"LAKE BOLAC",null
"Swimming",null,3379,131,"WILLLAURA",null
"Table Tennis",null,3377,132,"ARARAT",null
"Tennis (Outdoor)",null,3377,133,"ARARAT",null
"Tennis (Outdoor)",null,3375,134,"BUANGOR",null
"Tennis (Outdoor)",null,3377,135,"CATHCART",null
"Tennis (Outdoor)",null,3469,136,"ELMHURST",null
"Tennis (Outdoor)",null,3351,137,"LAKE BOLAC",null
"Tennis (Outdoor)",null,3377,138,"MAROONA",null
"Tennis (Outdoor)",null,3351,139,"MININERA",null
"Tennis (Outdoor)",null,3377,140,"MOYSTON",null
"Tennis (Outdoor)",null,3381,141,"POMONAL",null
"Tennis (Outdoor)",null,3351,142,"STREATHAM",null
"Tennis (Outdoor)",null,3378,143,"TATYOON",null
"Tennis (Outdoor)",null,3377,144,"WARRAK",null
"Tennis (Outdoor)",null,3379,145,"WICKLIFFE",null
"Tennis (Outdoor)",null,3379,146,"WILLLAURA",null
null,null,3350,147,"REDAN",null
null,null,3350,148,"REDAN",null
null,null,3350,149,"REDAN",null
null,null,3350,150,"REDAN",null
null,null,3350,151,"REDAN",null
null,null,3350,152,"BALLARAT",null
"Aerobics",null,3350,153,"BALLARAT",null
"Aerobics",null,3350,154,"MOUNT CLEAR",null
"Aerobics",null,3355,155,"WENDOUREE",null
"Aerobics",null,3355,156,"WENDOUREE",null
"Aerobics",null,3355,157,"WENDOUREE",null
"Aerobics",null,3352,158,"MAGPIE",null
"Aerobics",null,3350,159,"SEBASTOPOL",null
"Aerobics",null,3355,160,"WENDOUREE",null
"Aerobics",null,3350,161,"BALLARAT",null
"Aerobics",null,3350,162,"BALLARAT NORTH",null
"Aerobics",null,3350,163,"BALLARAT",null
"Aerobics",null,3350,164,"BALLARAT NORTH",null
"Aerobics",null,3356,165,"SEBASTOPOL",null
"Aerobics",null,3350,166,"MOUNT HELEN",null
"Archery",null,3350,167,"BALLARAT",null
"Athletics","4. Good",3350,168,"BROWN HILL",null
"Athletics","5. Very Good",3355,169,"WENDOUREE",null
"Athletics","4. Good",3350,170,"BALLARAT",null
"Athletics",null,3350,171,"MOUNT HELEN",null
"Australian Rules Football","5. Very Good",3350,172,"ALFREDTON",null
"Australian Rules Football",null,3355,173,"WENDOUREE",null
"Australian Rules Football",null,3350,174,"BALLARAT EAST",null
"Australian Rules Football",null,3355,175,"WENDOUREE",null
"Australian Rules Football","4. Good",3357,176,"BUNINYONG",null
"Australian Rules Football","5. Very Good",3355,177,"WENDOUREE",null
"Australian Rules Football","4. Good",3350,178,"BALLARAT",null
"Australian Rules Football","4. Good",3356,179,"DELACOMBE",null
"Australian Rules Football","5. Very Good",3350,180,"BALLARAT",null
"Australian Rules Football","5. Very Good",3350,181,"BALLARAT",null
"Australian Rules Football","4. Good",3352,182,"LEARMONTH",null
"Australian Rules Football","4. Good",3356,183,"SEBASTOPOL",null
"Australian Rules Football","4. Good",3350,184,"MOUNT CLEAR",null
"Australian Rules Football","2. Poor",3350,185,"MOUNT PLEASANT",null
"Australian Rules Football","5. Very Good",3350,186,"BALLARAT EAST",null
"Australian Rules Football","4. Good",3350,187,"BALLARAT",null
"Australian Rules Football","4. Good",3350,188,"BALLARAT",null
"Badminton",null,3355,189,"WENDOUREE",null
"Baseball","4. Good",3350,190,"BALLARAT",null
"Baseball","4. Good",3350,191,"BALLARAT",null
"Basketball",null,3350,192,"BALLARAT EAST",null
"Basketball",null,3350,193,"BALLARAT",null
"Basketball",null,3355,194,"WENDOUREE",null
"Basketball","5. Very Good",3355,195,"WENDOUREE",null
"Beach Volleyball",null,3350,196,"BALLARAT NORTH",null
"BMX",null,3350,197,"BALLARAT EAST",null
"BMX","5. Very Good",3355,198,"WENDOUREE",null
"BMX",null,3356,199,"DELACOMBE",null
"BMX",null,3356,200,"SEBASTOPOL",null
"BMX",null,3350,201,"BALLARAT",null
"BMX",null,null,202,"BALLARAT",null
"Boxing",null,3350,203,"BALLARAT NORTH",null
"Cricket","5. Very Good",3350,204,"ALFREDTON",null
"Cricket",null,3355,205,"WENDOUREE",null
"Cricket",null,3355,206,"WENDOUREE",null
"Cricket",null,3350,207,"BALLARAT EAST",null
"Cricket",null,3355,208,"WENDOUREE",null
"Cricket","4. Good",3350,209,"BROWN HILL",null
"Cricket","4. Good",3357,210,"BUNINYONG",null
"Cricket","5. Very Good",3355,211,"WENDOUREE",null
"Cricket","5. Very Good",3355,212,"WENDOUREE",null
"Cricket","3. Average",3355,213,"WENDOUREE",null
"Cricket","4. Good",3350,214,"BALLARAT",null
"Cricket","4. Good",3356,215,"DELACOMBE",null
"Fitness / Gymnasium Workouts",null,3350,255,"BALLARAT",null
"Cricket","5. Very Good",3350,216,"BALLARAT",null
"Cricket","4. Good",3353,217,"INVERMAY",null
"Cricket","4. Good",3352,218,"LEARMONTH",null
"Cricket","4. Good",3356,219,"SEBASTOPOL",null
"Cricket","4. Good",3350,220,"MOUNT CLEAR",null
"Cricket","2. Poor",3350,221,"MOUNT PLEASANT",null
"Cricket","4. Good",3350,222,"BALLARAT EAST",null
"Cricket",null,3350,223,"BALLARAT EAST",null
"Cricket",null,3350,224,"MOUNT HELEN",null
"Cricket","4. Good",3350,225,"BALLARAT",null
"Cricket","4. Good",null,226,"BALLARAT",null
"Cricket","4. Good",3355,227,"WENDOUREE WEST",null
"Cricket","4. Good",3350,228,"BALLARAT",null
"Cricket","4. Good",3350,229,"BALLARAT",null
"Cricket (Indoor)",null,3350,230,"BALLARAT NORTH",null
"Croquet","3. Average",3350,231,"BALLARAT",null
"Croquet","4. Good",3350,232,"BALLARAT",null
"Cycling",null,null,233,null,null
"Cycling",null,null,234,"BURRUMBEET",null
"Cycling",null,null,235,"BURRUMBEET",null
"Cycling",null,null,236,"LEARMONTH",null
"Cycling","5. Very Good",3356,237,"SEBASTOPOL",null
"Cycling",null,null,238,"MINERS REST",null
"Cycling",null,null,239,"BALLARAT",null
"Cycling",null,3350,240,"BALLARAT",null
"Equestrian",null,3352,241,"MOUNT ROWAN",null
"Equestrian",null,3350,242,"BALLARAT",null
"Fitness / Gymnasium Workouts",null,3350,243,"BALLARAT",null
"Fitness / Gymnasium Workouts",null,3350,244,"BALLARAT",null
"Fitness / Gymnasium Workouts",null,3350,245,"MOUNT CLEAR",null
"Fitness / Gymnasium Workouts","5. Very Good",3350,246,"BALLARAT",null
"Fitness / Gymnasium Workouts",null,3355,247,"WENDOUREE",null
"Fitness / Gymnasium Workouts",null,3355,248,"WENDOUREE",null
"Fitness / Gymnasium Workouts",null,3355,249,"WENDOUREE",null
"Fitness / Gymnasium Workouts",null,3352,250,"MAGPIE",null
"Fitness / Gymnasium Workouts",null,3350,251,"SEBASTOPOL",null
"Fitness / Gymnasium Workouts",null,3355,252,"WENDOUREE",null
"Fitness / Gymnasium Workouts",null,3350,253,"BALLARAT",null
"Fitness / Gymnasium Workouts",null,3350,254,"BALLARAT NORTH",null
"Fitness / Gymnasium Workouts",null,3350,256,"BALLARAT NORTH",null
"Fitness / Gymnasium Workouts",null,3356,257,"SEBASTOPOL",null
"Fitness / Gymnasium Workouts",null,3350,258,"MOUNT HELEN",null
"Golf","5. Very Good",3350,259,"BALLARAT",null
"Golf","4. Good",3357,260,"BUNINYONG",null
"Golf","4. Good",3350,261,"BALLARAT",null
"Golf","4. Good",3350,262,"BALLARAT",null
"Gymnastics","5. Very Good",3350,263,"BALLARAT",null
"Hockey","5. Very Good",3350,264,"BALLARAT",null
"Karate",null,3350,265,"BALLARAT",null
"Karate",null,3356,266,"SEBASTOPOL",null
"Lawn Bowls","4. Good",3350,267,"BALLARAT",null
"Lawn Bowls","4. Good",3350,268,"BALLARAT",null
"Lawn Bowls","5. Very Good",3350,269,"ALFREDTON",null
"Lawn Bowls","4. Good",3350,270,"BALLARAT",null
"Lawn Bowls","4. Good",3357,271,"BUNINYONG",null
"Lawn Bowls","4. Good",3355,272,"WENDOUREE",null
"Lawn Bowls","4. Good",3355,273,"WENDOUREE",null
"Lawn Bowls","4. Good",3350,274,"BALLARAT",null
"Lawn Bowls","4. Good",3350,275,"BALLARAT",null
"Lawn Bowls",null,3350,276,"BALLARAT",null
"Lawn Bowls","4. Good",3353,277,"INVERMAY",null
"Lawn Bowls","4. Good",3352,278,"LEARMONTH",null
"Lawn Bowls",null,3350,279,"BALLARAT",null
"Lawn Bowls",null,3350,280,"BALLARAT",null
"Lawn Bowls","5. Very Good",3356,281,"SEBASTOPOL",null
"Lawn Bowls","5. Very Good",3356,282,"SEBASTOPOL",null
"Lawn Bowls","4. Good",3350,283,"BALLARAT",null
"Lawn Bowls","4. Good",3350,284,"BALLARAT",null
"Lawn Bowls","4. Good",3355,285,"WENDOUREE",null
"Motor Cycling",null,null,286,"BALLARAT",null
"Netball","5. Very Good",3350,287,"ALFREDTON",null
"Netball","4. Good",3357,288,"BUNINYONG",null
"Netball","5. Very Good",3355,289,"WENDOUREE",null
"Netball","4. Good",3350,290,"BALLARAT",null
"Netball","4. Good",3350,291,"BALLARAT EAST",null
"Cycling",null,null,649,"DARNUM",null
"Netball","5. Very Good",3350,292,"BALLARAT",null
"Netball","4. Good",3352,293,"LEARMONTH",null
"Netball","3. Average",3350,294,"BALLARAT",null
"Netball","5. Very Good",3356,295,"SEBASTOPOL",null
"Netball",null,3350,296,"MOUNT CLEAR",null
"Netball (Indoor)","5. Very Good",3350,297,"BALLARAT",null
"Netball (Indoor)",null,3350,298,"BALLARAT NORTH",null
"Netball (Indoor)","5. Very Good",3355,299,"WENDOUREE",null
"Sailing",null,3355,300,"WENDOUREE",null
"Shooting Sports",null,null,301,"MT ROWAN",null
"Skating",null,3350,302,"BALLARAT EAST",null
"Soccer","4. Good",3350,303,"ALFREDTON",null
"Soccer",null,3355,304,"WENDOUREE",null
"Soccer","4. Good",3350,305,"REDAN",null
"Soccer","4. Good",3350,306,"REDAN",null
"Soccer","4. Good",3350,307,"BROWN HILL",null
"Soccer","4. Good",3350,308,"REDAN",null
"Soccer","5. Very Good",3350,309,"BALLARAT EAST",null
"Soccer","4. Good",3356,310,"SEBASTOPOL",null
"Soccer","3. Average",3356,311,"SEBASTOPOL",null
"Soccer","4. Good",3350,312,"REDAN",null
"Soccer","4. Good",null,313,"BALLARAT",null
"Soccer","4. Good",3350,314,"BALLARAT",null
"Soccer","4. Good",3355,315,"WENDOUREE WEST",null
"Soccer (Indoor Soccer / Futsal)",null,3350,316,"BALLARAT EAST",null
"Soccer (Indoor Soccer / Futsal)",null,3350,317,"BALLARAT NORTH",null
"Soccer (Indoor Soccer / Futsal)",null,3350,318,"BALLARAT NORTH",null
"Squash / Racquetball",null,3355,319,"WENDOUREE",null
"Squash / Racquetball",null,3350,320,"BALLARAT EAST",null
"Squash / Racquetball",null,3356,321,"SEBASTOPOL",null
"Swimming","5. Very Good",3350,322,"BALLARAT",null
"Swimming","4. Good",3350,323,"BLACK HILL",null
"Swimming","4. Good",3350,324,"BALLARAT",null
"Swimming","4. Good",3357,325,"BUNINYONG",null
"Swimming","5. Very Good",3350,326,"BALLARAT",null
"Swimming","4. Good",3350,327,"BALLARAT NORTH",null
"Swimming","4. Good",3356,328,"SEBASTOPOL",null
"Swimming",null,3355,329,"WENDOUREE",null
"Swimming",null,3350,330,"MOUNT HELEN",null
"Swimming",null,3355,331,"WENDOUREE",null
"Table Tennis",null,3355,332,"WENDOUREE",null
"Tae Kwon Do",null,3355,333,"LAKE GARDENS",null
"Ten Pin Bowling",null,3350,334,"BALLARAT NORTH",null
"Tennis (Indoor)",null,3356,335,"SEBASTOPOL",null
"Tennis (Outdoor)","3. Average",3350,336,"ALFREDTON",null
"Tennis (Outdoor)","5. Very Good",3355,337,"WENDOUREE",null
"Tennis (Outdoor)","4. Good",3355,338,"WENDOUREE",null
"Tennis (Outdoor)","4. Good",3357,339,"BUNINYONG",null
"Tennis (Outdoor)","3. Average",3355,340,"WENDOUREE",null
"Tennis (Outdoor)","4. Good",3353,341,"INVERMAY",null
"Tennis (Outdoor)","3. Average",3356,342,"SEBASTOPOL",null
"Tennis (Outdoor)",null,3350,343,"MOUNT CLEAR",null
"Tennis (Outdoor)","3. Average",3350,344,"MOUNT HELEN",null
"Volleyball",null,3350,345,"BALLARAT EAST",null
"Athletics",null,3081,346,"WEST HEIDELBERG",null
"Athletics","4. Good",3094,347,"MONTMORENCY","51 Years +"
"Australian Rules Football","5. Very Good",3087,348,"WATSONIA","26 - 50 Years"
"Australian Rules Football","4. Good",3088,349,"ST HELENA","26 - 50 Years"
"Australian Rules Football","2. Poor",3083,350,"BUNDOORA","26 - 50 Years"
"Australian Rules Football","3. Average",3079,351,"IVANHOE","26 - 50 Years"
"Australian Rules Football","4. Good",3084,352,"ROSANNA","51 Years +"
"Australian Rules Football",null,3085,353,"MACLEOD",null
"Australian Rules Football",null,3087,354,"WATSONIA",null
"Australian Rules Football","3. Average",3081,355,"WEST HEIDELBERG","26 - 50 Years"
"Australian Rules Football","3. Average",3088,356,"GREENSBOROUGH","26 - 50 Years"
"Australian Rules Football","4. Good",3088,357,"GREENSBOROUGH","26 - 50 Years"
"Australian Rules Football","3. Average",3084,358,"HEIDELBERG","26 - 50 Years"
"Australian Rules Football","3. Average",3084,359,"HEIDELBERG","26 - 50 Years"
"Australian Rules Football","3. Average",3079,360,"IVANHOE","26 - 50 Years"
"Australian Rules Football","4. Good",3085,361,"MACLEOD","11 - 25 Years"
"Cycling",null,null,650,null,null
"Australian Rules Football","4. Good",3094,362,"MONTMORENCY","51 Years +"
"Australian Rules Football","5. Very Good",3094,363,"MONTMORENCY","26 - 50 Years"
"Australian Rules Football","3. Average",3083,364,"BUNDOORA","11 - 25 Years"
"Australian Rules Football",null,3081,365,"WEST HEIDELBERG",null
"Australian Rules Football",null,3094,366,"MONTMORENCY",null
"Australian Rules Football","3. Average",3079,367,"IVANHOE","26 - 50 Years"
"Australian Rules Football","4. Good",3081,368,"HEIDELBERG HEIGHTS","26 - 50 Years"
"Australian Rules Football","2. Poor",3094,369,"MONTMORENCY",null
"Australian Rules Football","5. Very Good",3084,370,"HEIDELBERG","26 - 50 Years"
"Australian Rules Football","5. Very Good",3088,371,"GREENSBOROUGH","26 - 50 Years"
"Australian Rules Football","3. Average",3085,372,"MACLEOD","11 - 25 Years"
"Australian Rules Football","5. Very Good",3083,373,"BUNDOORA","26 - 50 Years"
