sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Bocce",null,3065,9061,"FITZROY",null
"Bocce",null,3054,9062,"PRINCESS HILL",null
"Boxing","3. Average",null,9063,"FITZROY","26 - 50 Years"
"Boxing","2. Poor",null,9064,"RICHMOND","26 - 50 Years"
"Boxing","4. Good",null,9065,"COLLINGWOOD","26 - 50 Years"
"Canoe Polo",null,3121,9066,"RICHMOND",null
"Canoeing",null,null,9067,"FAIRFIELD",null
"Canoeing","2. Poor",null,9068,"FAIRFIELD","26 - 50 Years"
"Cricket","4. Good",3121,9069,"CREMORNE","11 - 25 Years"
"Cricket","4. Good",3065,9070,"FITZROY","0 - 5 Years"
"Cricket","4. Good",3067,9071,"ALPHINGTON","51 Years +"
"Cricket","4. Good",3121,9072,"BURNLEY","0 - 5 Years"
"Fitness / Gymnasium Workouts",null,3121,9111,"RICHMOND",null
"Cricket","2. Poor",3121,9073,"RICHMOND","26 - 50 Years"
"Cricket","2. Poor",3067,9074,"ABBOTSFORD","26 - 50 Years"
"Cricket","2. Poor",3078,9075,"FAIRFIELD","26 - 50 Years"
"Cricket","1. Very Poor",3078,9076,"FAIRFIELD","26 - 50 Years"
"Cricket","3. Average",3121,9077,"BURNLEY","26 - 50 Years"
"Cricket","3. Average",3121,9078,"BURNLEY","11 - 25 Years"
"Cricket",null,null,9079,"FAIRFIELD",null
"Cricket","2. Poor",3078,9080,"FAIRFIELD","26 - 50 Years"
"Cricket","2. Poor",3067,9081,"ABBOTSFORD","26 - 50 Years"
"Cricket","1. Very Poor",null,9082,"FAIRFIELD","26 - 50 Years"
"Cricket","4. Good",3065,9083,"FITZROY","51 Years +"
"Cricket",null,3078,9084,"FAIRFIELD",null
"Cricket",null,3067,9085,"ABBOTSFORD",null
"Cycling",null,null,9086,"KEW",null
"Cycling",null,null,9087,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9088,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9089,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3067,9090,"ALPHINGTON",null
"Fitness / Gymnasium Workouts",null,3121,9091,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9092,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9093,"RICHMOND",null
"Fitness / Gymnasium Workouts","3. Average",3066,9094,"COLLINGWOOD","11 - 25 Years"
"Fitness / Gymnasium Workouts","5. Very Good",3068,9095,"CLIFTON HILL","26 - 50 Years"
"Fitness / Gymnasium Workouts",null,3121,9096,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3065,9097,"FITZROY",null
